hhi,term,performance,device_id,estimate,p.value,significance,city
AWHI,outdoor_temp,Poor,68,0.400626106,0.00E+00,***,Auckland
AWHI,outdoor_temp,Poor,69,1.401042565,4.80E-06,***,Auckland
AWHI,outdoor_temp,Poor,70,0.719187384,7.00E-07,***,Auckland
AWHI,outdoor_temp,Poor,101,1.170921591,0.00E+00,***,Auckland
AWHI,outdoor_temp,Poor,102,1.805686892,1.00E-07,***,Auckland
AWHI,outdoor_temp,Poor,103,0.959161482,9.00E-07,***,Auckland
AWHI,outdoor_temp,Poor,104,0.756346605,6.40E-06,***,Auckland
AWHI,outdoor_temp,Poor,105,0.741928908,2.50E-06,***,Auckland
AWHI,outdoor_temp,Poor,106,0.367999516,5.00E-07,***,Auckland
AWHI,outdoor_temp,Poor,107,1.046550351,0.003,**,Auckland
AWHI,outdoor_temp,Poor,108,0.028691311,0.00E+00,***,Auckland
AWHI,outdoor_temp,Poor,109,0.965086048,4.80E-06,***,Auckland
AWHI,outdoor_temp,Poor,110,1.017479201,7.00E-07,***,Auckland
AWHI,outdoor_temp,Very Poor,31,0.668177789,0.00E+00,***,Auckland
AWHI,outdoor_temp,Very Poor,32,2.121584125,1.00E-07,***,Auckland
AWHI,outdoor_temp,Very Poor,33,0.825425815,9.00E-07,***,Auckland
AWHI,outdoor_temp,Very Poor,34,0.714972793,6.40E-06,***,Auckland
AWHI,outdoor_temp,Very Poor,35,2.064153537,2.50E-06,***,Auckland
AWHI,outdoor_temp,Very Poor,36,1.14486467,5.00E-07,***,Auckland
AWHI,outdoor_temp,Very Poor,37,2.384446175,0.003,**,Auckland
AWHI,outdoor_temp,Very Poor,38,2.480625811,0.00E+00,***,Auckland
AWHI,outdoor_temp,Very Poor,39,2.014108127,4.80E-06,***,Auckland
AWHI,outdoor_temp,Very Poor,40,1.045819315,7.00E-07,***,Auckland
AWHI,outdoor_temp,Very Poor,71,2.419080253,0.00E+00,***,Auckland
AWHI,outdoor_temp,Very Poor,72,1.160952274,1.00E-07,***,Auckland
AWHI,outdoor_temp,Very Poor,73,1.759913672,9.00E-07,***,Auckland
AWHI,outdoor_temp,Very Poor,74,1.344576694,6.40E-06,***,Auckland
AWHI,outdoor_temp,Very Poor,75,1.938142763,2.50E-06,***,Auckland
AWHI,outdoor_temp,Very Poor,76,0.708993708,5.00E-07,***,Auckland
AWHI,outdoor_temp,Very Poor,77,0.627013855,0.003,**,Auckland
AWHI,outdoor_temp,Very Poor,78,2.39569998,0.00E+00,***,Auckland
AWHI,outdoor_temp,Very Poor,79,0.809341348,4.80E-06,***,Auckland
AWHI,outdoor_temp,Very Poor,80,2.356107692,7.00E-07,***,Auckland
AWHI,outdoor_temp,Very Poor,111,2.028913686,0.00E+00,***,Auckland
AWHI,outdoor_temp,Very Poor,112,2.136821833,1.00E-07,***,Auckland
AWHI,outdoor_temp,Very Poor,113,2.067212593,9.00E-07,***,Auckland
AWHI,outdoor_temp,Very Poor,114,1.37611081,6.40E-06,***,Auckland
AWHI,outdoor_temp,Very Poor,115,0.857381282,2.50E-06,***,Auckland
AWHI,outdoor_temp,Very Poor,116,2.282149446,5.00E-07,***,Auckland
AWHI,outdoor_temp,Very Poor,117,1.947077768,0.003,**,Auckland
AWHI,outdoor_temp,Very Poor,118,1.372906,0.00E+00,***,Auckland
AWHI,outdoor_temp,Very Poor,119,0.976294526,4.80E-06,***,Auckland
AWHI,outdoor_temp,Very Poor,120,2.049194677,7.00E-07,***,Auckland
